,Status,Number_of_Properties,Consent,Minor_Variance,Official_Plan_Rezoning,Site_Plan_Application,lat,lon,Council,Average_Income,Secondary_Plan,Business_Improvement_Area,Site_and_Area_Specific_Policy,Zoning_Category
220,Denied,One Property,0,1,0,0,43.6598999,-79.4079091,Toronto and East York Community Council,50757,0,0,0,Residential
221,Denied,One Property,0,1,0,0,43.6893948,-79.4331134,Toronto and East York Community Council,65274,0,0,0,Residential
222,Approved,One Property,0,1,0,0,43.70516062857143,-79.46308450000001,North York Community Council,38527,0,0,0,Residential
223,Approved,One Property,0,1,0,0,43.7410846,-79.4374752,North York Community Council,51181,0,0,0,Residential
224,Approved,One Property,0,1,0,0,43.6853218,-79.5144591,Etobicoke York Community Council,45615,0,0,0,Residential Apartment
225,Denied,One Property,0,1,0,0,43.59886153333333,-79.5218797,Etobicoke York Community Council,44101,0,0,0,Residential
226,Denied,One Property,0,1,0,0,43.695506375,-79.4351591,Toronto and East York Community Council,65274,0,0,0,Residential
227,Denied,More Than One Property,0,0,1,0,43.6605103,-79.5083403,Etobicoke York Community Council,144642,0,0,0,Residential
228,Approved,One Property,0,1,0,0,43.7073545,-79.2959735138889,Toronto and East York Community Council,43907,0,0,0,Residential
229,Approved,One Property,1,0,0,0,43.67874435,-79.38983008872843,Toronto and East York Community Council,207903,0,1,1,Commercial Residential
230,Denied,One Property,0,1,0,0,43.69885243857222,-79.41258135685342,Toronto and East York Community Council,204521,0,0,0,Residential
231,Denied,More Than One Property,0,0,1,0,43.70643635,-79.3912805,Toronto and East York Community Council,57039,1,0,0,Residential
232,Approved,One Property,1,1,0,0,43.66694716,-79.41569752,Toronto and East York Community Council,112766,0,0,0,Residential
233,Approved,One Property,0,1,0,0,43.67964364809568,-79.38861630129878,Toronto and East York Community Council,207903,0,0,0,Residential
234,Denied,One Property,0,1,0,0,43.71526992,-79.36615126,North York Community Council,125564,0,0,0,Residential
237,Approved,One Property,1,0,0,0,43.66818372941177,-79.41748205882354,Toronto and East York Community Council,112766,0,0,0,Residential
238,Approved,One Property,1,0,0,0,43.66824182352941,-79.41750354705883,Toronto and East York Community Council,112766,0,0,0,Residential
239,Approved,One Property,1,0,0,0,43.6892355,-79.4329708582801,Toronto and East York Community Council,65274,0,0,0,Residential
240,Approved,One Property,1,0,0,0,43.7021051,-79.2899012,Scarborough Community Council,36232,0,0,0,Residential
241,Denied,One Property,0,1,0,0,43.65923119523809,-79.40330500952382,Toronto and East York Community Council,50757,0,0,0,Residential
242,Approved,More Than One Property,0,0,0,1,43.7982557,-79.3335195,Scarborough Community Council,31826,0,0,0,Commercial Residential
243,Denied,One Property,0,1,0,0,43.649768,-79.50746777307691,Etobicoke York Community Council,144642,0,0,0,Residential
244,Denied,One Property,0,1,0,0,43.75346703768146,-79.46036023924941,North York Community Council,45936,0,0,0,Residential
245,Approved,One Property,0,1,0,0,43.67641194285714,-79.32206475714285,Toronto and East York Community Council,46206,0,0,0,Residential
246,Approved,One Property,1,0,0,0,43.67477525952381,-79.32269985238095,Toronto and East York Community Council,46206,0,0,0,Residential
247,Denied,One Property,0,1,0,0,43.6611483,-79.46452498571429,Toronto and East York Community Council,57465,0,0,0,Residential
248,Approved,One Property,1,0,0,0,43.78973717425329,-79.41249164204429,North York Community Council,45212,0,0,0,Residential
249,Denied,One Property,1,0,0,0,43.71282739799999,-79.48732196,Etobicoke York Community Council,37108,0,0,0,Residential
250,Denied,One Property,0,1,0,0,43.65923295384615,-79.47696289999999,Toronto and East York Community Council,57465,0,0,0,Residential
251,Denied,One Property,0,1,0,0,43.75703163333333,-79.4161748,North York Community Council,72371,0,0,0,Residential
252,Denied,One Property,0,1,0,0,43.59472346666666,-79.54681652666667,Etobicoke York Community Council,47709,0,0,0,Residential
